request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
6916,BasicRequest,1,38880,38880,63;-1;-1,11447;-1;-1,,,,,605.5442400370001,9643.941000000003,0:t_wait:333.5227592989904;t_drive:635.5442400370011;fare:964,,,0,38,39213.52275929899,40061.44756250698,964,0
7148,BasicRequest,1,39300,39300,4428;-1;-1,11447;-1;-1,,,,,525.4635808150001,7063.896,0:t_wait:205.98398169199208;t_drive:555.4635808149978;fare:706,,,0,38,39505.983981691985,40061.44756250698,706,0
6440,BasicRequest,1,38040,38040,7547;-1;-1,9931;-1;-1,,,,,632.1748876839999,7447.326,0:t_wait:299.0902906389965;t_drive:911.0975513500016;fare:744,,,0,52,39163.027753707014,40074.125305056994,744,0
6855,BasicRequest,1,38760,38760,4931;-1;-1,8210;-1;-1,,,,,887.1722324310005,12230.202,0:t_wait:43.71550614100124;t_drive:1095.053294534002;fare:1223,,,0,71,38803.715506140994,40039.706971745014,1223,0
6874,BasicRequest,1,38820,38820,185;-1;-1,8618;-1;-1,,,,,338.4348156700001,4392.948999999999,0:t_wait:858.6858751580585;t_drive:368.4348156699998;fare:439,,,0,75,39678.68587515807,40047.12069082809,439,0
6238,BasicRequest,1,37620,37620,1498;-1;-1,223;-1;-1,,,,,1351.680119054,24743.638999999996,0:t_wait:541.8762206909887;t_drive:1905.5342226560024;fare:2474,,,0,92,38161.876220690996,40067.41044334706,2474,0
6826,BasicRequest,1,38700,38700,4074;-1;-1,392;-1;-1,,,,,827.689088757,12026.891,0:t_wait:498.8603903490075;t_drive:857.6890887569971;fare:1202,,,0,108,39198.860390349,40056.549479106,1202,0
6452,BasicRequest,1,38040,38040,1608;-1;-1,1174;-1;-1,,,,,644.2859896650001,7725.181000000002,0:t_wait:1124.4734624550183;t_drive:674.285989664997;fare:772,,,0,115,39164.473462455026,40069.811336825056,772,0
7437,BasicRequest,1,39840,39840,1608;-1;-1,9931;-1;-1,,,,,141.238559663,1617.594,0:t_wait:15.140290719042241;t_drive:171.23855966299743;fare:161,,,0,118,39855.14029071904,40026.37885038204,161,0
6656,BasicRequest,1,38460,38460,5238;-1;-1,4307;-1;-1,,,,,444.944535695,6564.183999999998,0:t_wait:1105.2813918740358;t_drive:474.94453569500183;fare:656,,,0,131,39565.281391874,40040.225927568994,656,0
6704,BasicRequest,1,38520,38520,9377;-1;-1,5269;-1;-1,,,,,335.4517842419999,4301.458,0:t_wait:1141.8390294359997;t_drive:365.45178424200276;fare:430,,,0,139,39661.83902943603,40027.29081367803,430,0
6742,BasicRequest,1,38580,38580,10186;-1;-1,5881;-1;-1,,,,,405.053209775,5441.205,0:t_wait:855.9984239160258;t_drive:435.0532097749965;fare:544,,,0,149,39435.998423916,40045.813543786004,544,0
7335,BasicRequest,1,39660,39660,8313;-1;-1,10159;-1;-1,,,,,318.7188826280001,4196.687,0:t_wait:43.57475473003433;t_drive:348.7188826280035;fare:419,,,0,170,39703.57475473003,40052.29363735803,419,0
5908,BasicRequest,1,37020,37020,1498;-1;-1,7899;-1;-1,,,,,1398.3283617470001,21628.170999999995,0:t_wait:1144.237903794965;t_drive:1428.3283617470006;fare:2162,,,0,182,38164.237903794965,40046.01299134701,2162,0
6793,BasicRequest,1,38640,38640,2074;-1;-1,9377;-1;-1,,,,,866.362101403,11526.521999999999,0:t_wait:260.4339495569657;t_drive:949.9130717819935;fare:1152,,,0,183,38900.43394955696,40026.54702952595,1152,0
6578,BasicRequest,1,38280,38280,1498;-1;-1,4934;-1;-1,,,,,1055.555174448,15479.159,0:t_wait:570.7558316300128;t_drive:1218.2930869019983;fare:1547,,,0,193,38850.75583163003,40069.04891853207,1547,0
6636,BasicRequest,1,38400,38400,7899;-1;-1,1608;-1;-1,,,,,542.243040227,7758.568,0:t_wait:1068.7249940030015;t_drive:572.2430402269965;fare:775,,,0,195,39468.72499400303,40070.96803423002,775,0
6228,BasicRequest,1,37560,37560,4251;-1;-1,8210;-1;-1,,,,,971.2322017350002,13019.736999999997,0:t_wait:1184.7858965010091;t_drive:1001.2322017350016;fare:1301,,,0,236,38744.78589650102,40078.821126015064,1301,0
6672,BasicRequest,1,38460,38460,63;-1;-1,4955;-1;-1,,,,,588.789613265,9093.725999999999,0:t_wait:663.8533157150378;t_drive:618.7896132649985;fare:909,,,0,251,39441.12984881603,40059.91946208103,909,0
6727,BasicRequest,1,38580,38580,1558;-1;-1,955;-1;-1,,,,,272.199531526,3318.4300000000003,0:t_wait:1158.9823774680772;t_drive:302.1995315259992;fare:331,,,0,267,39738.98237746811,40041.181908994105,331,0
7135,BasicRequest,1,39300,39300,7746;-1;-1,5858;-1;-1,,,,,404.297087141,4542.543000000001,0:t_wait:286.5148352990582;t_drive:491.5117534920064;fare:454,,,0,268,39586.514835299065,40078.02658879107,454,0
6349,BasicRequest,1,37860,37860,1498;-1;-1,5858;-1;-1,,,,,1129.5247332999998,18914.915,0:t_wait:1042.097921473025;t_drive:1159.5247333000007;fare:1891,,,0,318,38902.09792147303,40061.622654773026,1891,0
7114,BasicRequest,1,39240,39240,5858;-1;-1,605;-1;-1,,,,,360.1271209490001,5037.803000000001,0:t_wait:345.3518876770031;t_drive:470.4562396090041;fare:503,,,0,345,39585.35188767701,40055.808127285985,503,0
6708,BasicRequest,1,38520,38520,5858;-1;-1,4934;-1;-1,,,,,716.2042427569999,11811.928000000002,0:t_wait:766.7579951510343;t_drive:746.2042427569977;fare:1181,,,0,349,39286.75799515103,40032.96223790801,1181,0
7015,BasicRequest,1,39060,39060,9377;-1;-1,8618;-1;-1,,,,,957.3584446039998,15700.172999999997,0:t_wait:12.720055815989326;t_drive:987.3584446039968;fare:1570,,,0,352,39072.72005581599,40060.078500420015,1570,0
7178,BasicRequest,1,39360,39360,5106;-1;-1,5858;-1;-1,,,,,418.97994294800003,5286.871000000001,0:t_wait:222.2497782040009;t_drive:448.9799429479972;fare:528,,,0,369,39582.24977820399,40031.22972115201,528,0
6844,BasicRequest,1,38760,38760,5269;-1;-1,6011;-1;-1,,,,,614.5285415339999,8596.127999999999,0:t_wait:376.546570548031;t_drive:644.5285415339968;fare:859,,,0,383,39136.54657054802,40022.390343440034,859,0
6853,BasicRequest,1,38760,38760,605;-1;-1,6011;-1;-1,,,,,89.906258739,1215.004,0:t_wait:1142.4840847010273;t_drive:119.9062587389999;fare:121,,,0,383,39902.48408470103,40022.390343440034,121,0
6949,BasicRequest,1,38940,38940,677;-1;-1,9377;-1;-1,,,,,689.0887969610002,9319.094000000001,0:t_wait:266.1374057360372;t_drive:915.5430265600007;fare:931,,,0,1,39206.137405736015,40121.68043229604,931,0
7273,BasicRequest,1,39540,39540,5858;-1;-1,8210;-1;-1,,,,,449.56248373400007,6086.915999999999,0:t_wait:100.05900941397704;t_drive:479.5624837340001;fare:608,,,0,17,39640.05900941398,40119.621493148,608,0
7206,BasicRequest,1,39420,39420,887;-1;-1,11447;-1;-1,,,,,199.67910928199998,2311.602,0:t_wait:472.225838287035;t_drive:229.67910928199854;fare:231,,,0,22,39892.22583828706,40121.90494756906,231,0
6718,BasicRequest,1,38520,38520,5269;-1;-1,4934;-1;-1,,,,,311.952509834,3351.7149999999997,0:t_wait:1107.8295841529762;t_drive:341.95250983400183;fare:335,,,0,68,39627.82958415301,40087.73523335101,335,0
7139,BasicRequest,1,39300,39300,7899;-1;-1,6141;-1;-1,,,,,797.3954151949999,11798.992,0:t_wait:0;t_drive:827.395415195002;fare:1179,,,0,74,39300.0,40127.39541519501,1179,0
6644,BasicRequest,1,38400,38400,1498;-1;-1,5269;-1;-1,,,,,842.8445463099999,12692.633,0:t_wait:824.6542313959944;t_drive:872.8445463099997;fare:1269,,,0,78,39224.65423139601,40097.49877770603,1269,0
6910,BasicRequest,1,38880,38880,6011;-1;-1,1973;-1;-1,,,,,454.8799120150003,6472.446,0:t_wait:588.9129941790306;t_drive:622.6277645449954;fare:647,,,0,84,39468.91299417904,40091.540758724055,647,0
7012,BasicRequest,1,39060,39060,9641;-1;-1,392;-1;-1,,,,,631.98133775,8986.260000000002,0:t_wait:178.3384275540011;t_drive:865.8394096229968;fare:898,,,0,104,39238.338427554,40104.177837177005,898,0
7174,BasicRequest,1,39360,39360,3160;-1;-1,4994;-1;-1,,,,,458.60750810999997,5621.952000000002,0:t_wait:109.2548473070201;t_drive:488.6075081099989;fare:562,,,0,127,39469.25484730703,40106.135763690036,562,0
7378,BasicRequest,1,39720,39720,955;-1;-1,4994;-1;-1,,,,,145.340349856,1299.4589999999998,0:t_wait:210.7954138340283;t_drive:175.3403498560001;fare:129,,,0,127,39930.795413834036,40106.135763690036,129,0
7230,BasicRequest,1,39480,39480,10159;-1;-1,6011;-1;-1,,,,,180.312206768,2411.598,0:t_wait:407.5180030450356;t_drive:210.3122067680015;fare:241,,,0,148,39887.518003045014,40097.83020981303,241,0
