,request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
85,749,BasicRequest,1,30840,30840,9933;-1;-1,2944;-1;-1,,,,,580.7911487421479,9075.622,0:t_wait:459.9109256302436;t_drive:1231.2017952096357;fare:907,,,0.0,54.0,31299.91092563024,32531.112720839865,907.0,0
86,795,BasicRequest,1,29940,29940,9939;-1;-1,2944;-1;-1,,,,,467.5412290086855,8034.595999999999,0:t_wait:452.31555883284454;t_drive:767.5412290086861;fare:803,,,0.0,17.0,31863.7992359706,32631.340464979286,803.0,0
87,1403,BasicRequest,1,29820,29820,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:t_wait:1887.7138663566075;t_drive:892.6384329904104;fare:917,,,0.0,39.0,31707.7138663566,32600.35229934701,917.0,0
88,499,BasicRequest,1,30000,30000,10060;-1;-1,2944;-1;-1,,,,,427.3237435185241,6064.819,0:t_wait:2020.0877809777885;t_drive:727.3237435185256;fare:606,,,0.0,48.0,32020.087780977792,32747.41152449631,606.0,0
89,901,BasicRequest,1,29040,29040,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:451.0058960502611;t_drive:751.262937992542;fare:594,,,0.0,20.0,32289.673613473595,33040.93655146614,594.0,0
90,913,BasicRequest,1,31740,31740,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:549.6736134735947;t_drive:751.2629379925456;fare:594,,,0.0,20.0,32289.673613473595,33040.93655146614,594.0,0
91,891,BasicRequest,1,31740,31740,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:549.6736134735947;t_drive:751.2629379925456;fare:594,,,0.0,20.0,32289.673613473595,33040.93655146614,594.0,0
92,3001,BasicRequest,1,29160,29160,5047;-1;-1,2944;-1;-1,,,,,2415.478401018672,52081.10800000001,0:t_wait:1159.8627106421409;t_drive:2715.4784010186704;fare:5208,,,0.0,42.0,30319.862710642134,33035.34111166081,5208.0,0
93,3003,BasicRequest,1,30060,30060,5047;-1;-1,2944;-1;-1,,,,,2415.478401018672,52081.10800000001,0:t_wait:259.8627106421336;t_drive:2715.4784010186704;fare:5208,,,0.0,42.0,30319.862710642134,33035.34111166081,5208.0,0
94,643,BasicRequest,1,31680,31680,10011;-1;-1,2944;-1;-1,,,,,590.4850718764126,11248.866000000002,0:t_wait:539.776793506302;t_drive:890.4850718764137;fare:1124,,,0.0,58.0,32219.776793506306,33110.26186538272,1124.0,0
95,645,BasicRequest,1,31680,31680,10011;-1;-1,2944;-1;-1,,,,,590.4850718764126,11248.866000000002,0:t_wait:539.776793506302;t_drive:890.4850718764137;fare:1124,,,0.0,58.0,32219.776793506306,33110.26186538272,1124.0,0
96,2263,BasicRequest,1,27480,27480,4175;-1;-1,2944;-1;-1,,,,,1154.7352679104033,21748.748,0:t_wait:4283.174729133065;t_drive:1454.7352679104042;fare:2174,,,0.0,14.0,31763.17472913306,33217.909997043454,2174.0,0
97,708,BasicRequest,1,32400,32400,2944;-1;-1,10054;-1;-1,,,,,631.167291746579,10396.712,0:t_wait:0;t_drive:931.1672917465767;fare:1039,,,0.0,62.0,32400.0,33331.16729174658,1039.0,0
98,2489,BasicRequest,1,24000,24000,10454;-1;-1,2944;-1;-1,,,,,4374.461063909983,86780.43,0:t_wait:4403.068207649281;t_drive:4674.461063909985;fare:8678,,,0.0,4.0,28403.068207649278,33379.33152470279,8678.0,0
99,77,BasicRequest,1,29640,29640,10756;-1;-1,2944;-1;-1,,,,,1595.7211047148517,32326.403,0:t_wait:1843.61041998793;t_drive:1895.7211047148485;fare:3232,,,0.0,4.0,31483.610419987937,33379.33152470279,3232.0,0
100,1657,BasicRequest,1,28980,28980,6465;-1;-1,2944;-1;-1,,,,,529.3676136718705,8582.099,0:t_wait:531.0659696152652;t_drive:829.3676136718714;fare:858,,,0.0,28.0,32559.61654207149,33388.98415574336,858.0,0
101,1180,BasicRequest,1,32400,32400,2944;-1;-1,10077;-1;-1,,,,,683.7305003670747,10172.905999999995,0:t_wait:0;t_drive:983.7305003670772;fare:1017,,,0.0,61.0,32400.0,33383.73050036708,1017.0,0
102,1821,BasicRequest,1,27960,27960,3148;-1;-1,2944;-1;-1,,,,,2259.7200744512675,51121.64,0:t_wait:2226.09518790141;t_drive:2559.7200744512666;fare:5112,,,0.0,33.0,30186.095187901403,33467.339530479854,5112.0,0
103,1845,BasicRequest,1,28860,28860,3171;-1;-1,2944;-1;-1,,,,,2077.248750078596,41268.163,0:t_wait:2230.0907804012386;t_drive:2377.2487500785937;fare:4126,,,0.0,33.0,31090.09078040124,33467.339530479854,4126.0,0
104,813,BasicRequest,1,31620,31620,3022;-1;-1,2944;-1;-1,,,,,593.5259374642842,9186.113999999998,0:t_wait:644.1682071189534;t_drive:893.525937464281;fare:918,,,0.0,57.0,32564.16820711895,33457.69414458325,918.0,0
105,1393,BasicRequest,1,31620,31620,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:t_wait:643.2807026450828;t_drive:1194.413441938159;fare:917,,,0.0,57.0,32263.28070264508,33457.69414458325,917.0,0
106,845,BasicRequest,1,31620,31620,3022;-1;-1,2944;-1;-1,,,,,593.5259374642842,9186.113999999998,0:t_wait:944.1682071189571;t_drive:893.5259374642847;fare:918,,,0.0,57.0,32564.16820711895,33457.69414458325,918.0,0
107,837,BasicRequest,1,31620,31620,3022;-1;-1,2944;-1;-1,,,,,593.5259374642842,9186.113999999998,0:t_wait:944.1682071189571;t_drive:893.5259374642847;fare:918,,,0.0,57.0,32564.16820711895,33457.69414458325,918.0,0
108,1270,BasicRequest,1,32400,32400,2944;-1;-1,10742;-1;-1,,,,,729.908213841141,12818.131999999996,0:t_wait:0;t_drive:1029.9082138411395;fare:1281,,,0.0,63.0,32400.0,33429.90821384114,1281.0,0
109,1248,BasicRequest,1,32400,32400,2944;-1;-1,10742;-1;-1,,,,,729.908213841141,12818.131999999996,0:t_wait:0;t_drive:1029.9082138411395;fare:1281,,,0.0,63.0,32400.0,33429.90821384114,1281.0,0
110,1951,BasicRequest,1,33480,33480,10167;-1;-1,2944;-1;-1,,,,,7923.994976229969,167644.773,0:,,,,,,,,0
111,2707,BasicRequest,1,22980,22980,12113;-1;-1,2944;-1;-1,,,,,4934.237766863865,105777.47900000004,0:t_wait:4897.369598693818;t_drive:5234.2377668638655;fare:10577,,,0.0,2.0,27877.36959869382,33518.42248461874,10577.0,0
112,2465,BasicRequest,1,27480,27480,11895;-1;-1,2944;-1;-1,,,,,2876.677297682454,62881.68900000001,0:t_wait:2861.7451869362885;t_drive:3176.677297682454;fare:6288,,,0.0,2.0,30341.74518693629,33518.42248461874,6288.0,0
113,1056,BasicRequest,1,32400,32400,2944;-1;-1,10105;-1;-1,,,,,786.4428086208901,11826.562999999998,0:t_wait:0;t_drive:1086.4428086208936;fare:1182,,,0.0,60.0,32400.0,33486.442808620886,1182.0,0
114,1187,BasicRequest,1,30720,30720,10838;-1;-1,2944;-1;-1,,,,,622.4261359876807,9141.320000000002,0:t_wait:1907.7786288213356;t_drive:922.4261359876873;fare:914,,,0.0,25.0,32627.778628821347,33550.20476480904,914.0,0
