request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2781,BasicRequest,1,47100,47100,4894;-1;-1,2944;-1;-1,,,,,1239.880068256095,22319.216999999997,0:,,,,,,,,0
3073,BasicRequest,1,47100,47100,5130;-1;-1,2944;-1;-1,,,,,1363.4569196772527,25690.742999999995,0:,,,,,,,,0
2475,BasicRequest,1,43680,43680,11895;-1;-1,2944;-1;-1,,,,,2876.677297682454,62881.68900000001,0:t_wait:297.21263921638456;t_drive:3176.6772976824504;fare:6288,,,0.0,13.0,43977.21263921639,47153.88993689885,6288.0,0
261,BasicRequest,1,47160,47160,9872;-1;-1,2944;-1;-1,,,,,2947.325044810882,53616.77199999999,0:,,,,,,,,0
621,BasicRequest,1,47160,47160,2877;-1;-1,2944;-1;-1,,,,,631.1253389176367,9723.533000000001,0:,,,,,,,,0
3037,BasicRequest,1,47160,47160,5047;-1;-1,2944;-1;-1,,,,,2415.4784010186713,52081.10800000001,0:,,,,,,,,0
3105,BasicRequest,1,47160,47160,6958;-1;-1,2944;-1;-1,,,,,1329.9067147172113,25508.352,0:,,,,,,,,0
2139,BasicRequest,1,45420,45420,4149;-1;-1,2944;-1;-1,,,,,1186.9811788127922,18690.023999999998,0:t_wait:0;t_drive:1486.9811788127918;fare:1869,,,0.0,14.0,45420.0,47210.74630079454,1869.0,0
2129,BasicRequest,1,45420,45420,4149;-1;-1,2944;-1;-1,,,,,1186.9811788127922,18690.023999999998,0:t_wait:0;t_drive:1486.9811788127918;fare:1869,,,0.0,14.0,45420.0,47210.74630079454,1869.0,0
1473,BasicRequest,1,46140,46140,3015;-1;-1,2944;-1;-1,,,,,518.6047215876927,8531.738000000001,0:t_wait:252.14157920684374;t_drive:818.6047215876897;fare:853,,,0.0,14.0,46392.141579206844,47210.74630079454,853.0,0
